Address,Size,Type,Symbol
0x0040A270,0x0000001D,func,fn_0040A270
0x0040A28D,0x0000002C,func,fn_0040A28D
0x0040A2B9,0x0000003E,func,fn_0040A2B9
0x0040A2F7,0x00000042,func,fn_0040A2F7
0x0040A4ED,0x0000005E,func,fn_0040A4ED
0x0040A54B,0x00000022,func,fn_0040A54B
0x0040A56D,0x00000020,func,fn_0040A56D
0x0040A58D,0x000001D9,func,fn_0040A58D
0x0040A766,0x00000068,func,fn_0040A766
0x0040A7CE,0x00000030,func,fn_0040A7CE
0x0040A7FE,0x00000016,func,fn_0040A7FE
0x0040A8B0,0x00000075,func,fn_0040A8B0
0x0040A925,0x00000016,func,fn_0040A925
0x0040A93B,0x00000034,func,fn_0040A93B
0x0040A96F,0x00000038,func,fn_0040A96F
0x0040A9A7,0x00000017,func,fn_0040A9A7
0x0040A9BE,0x00000014,func,fn_0040A9BE
0x0040A9D2,0x00000033,func,fn_0040A9D2
0x0040AA05,0x000000E2,func,fn_0040AA05
0x0040AAE7,0x00000039,func,fn_0040AAE7
0x0040AB20,0x0000007C,func,fn_0040AB20
0x0040AB9C,0x0000010B,func,fn_0040AB9C
0x0040ACCF,0x000000C9,func,fn_0040ACCF
0x0040AD98,0x00000167,func,fn_0040AD98
0x0040AEFF,0x0000000C,func,?internal@@YAXPBGH@Z
0x0040AF0B,0x00000021,func,fn_0040AF0B
0x0040AF2C,0x00000021,func,fn_0040AF2C
0x0040AF4D,0x00000021,func,fn_0040AF4D
0x0040AF6E,0x0000001E,func,fn_0040AF6E
0x0040AF8C,0x0000001E,func,fn_0040AF8C
0x0040AFAA,0x000000FA,func,fn_0040AFAA
0x0040B0A4,0x00000053,func,fn_0040B0A4
0x0040B0F7,0x0000002D,func,fn_0040B0F7
0x0040B124,0x00000163,func,fn_0040B124
0x0040B287,0x000002B0,func,fn_0040B287
0x0040B537,0x000000E5,func,fn_0040B537
0x0040B61C,0x00000506,func,fn_0040B61C
0x0040BB22,0x000004BB,func,fn_0040BB22
0x0040BFDD,0x00000041,func,fn_0040BFDD
0x0040C01E,0x00000213,func,fn_0040C01E
0x0040C231,0x00000861,func,fn_0040C231
0x0040CAD4,0x0000005C,func,fn_0040CAD4
0x0040CB30,0x0000020E,func,fn_0040CB30
0x0040CDBF,0x00000284,func,fn_0040CDBF
0x0040D3A0,0x00000158,func,fn_0040D3A0
0x0040D4F8,0x00000195,func,fn_0040D4F8
0x0040D68D,0x00000021,func,fn_0040D68D
0x0040D6AF,0x00000307,func,fn_0040D6AF
0x0040DA63,0x0000008E,func,fn_0040DA63
0x0040DAF1,0x0000018B,func,fn_0040DAF1
0x0040DC7C,0x000000BB,func,fn_0040DC7C
0x0040DD37,0x000004F8,func,fn_0040DD37
0x0040E3D3,0x0000003D,func,fn_0040E3D3
0x0040E52E,0x000003D0,func,fn_0040E52E
0x0040E8FE,0x0000014B,func,fn_0040E8FE
0x0040EA49,0x00000237,func,fn_0040EA49
0x0040EC80,0x0000001F,func,fn_0040EC80
0x0040EC9F,0x00000019,func,fn_0040EC9F
0x0040ECF4,0x0000006C,func,fn_0040ECF4
0x0040ED60,0x0000033D,func,fn_0040ED60
0x0040F09D,0x00000680,func,fn_0040F09D
0x0040F777,0x000000DB,func,fn_0040F777
0x0040F852,0x00000020,func,fn_0040F852
0x0040F8A9,0x0000002A,func,fn_0040F8A9
0x0040F8D3,0x00000017,func,fn_0040F8D3
0x0040F8EA,0x0000005E,func,fn_0040F8EA
0x0040F948,0x00000044,func,fn_0040F948
0x0040F98C,0x0000002D,func,fn_0040F98C
0x0040F9B9,0x00000022,func,fn_0040F9B9
0x0040F9DB,0x0000006D,func,fn_0040F9DB
0x0040FA48,0x00000073,func,fn_0040FA48
0x0040FABB,0x000000C3,func,fn_0040FABB
0x0040FB7E,0x0000000E,func,fn_0040FB7E
0x0040FB8C,0x0000004B,func,fn_0040FB8C
0x0040FBD7,0x00000271,func,fn_0040FBD7
0x0040FE48,0x00000035,func,fn_0040FE48
0x0040FE7D,0x000000E5,func,fn_0040FE7D
0x0040FF62,0x000000F8,func,fn_0040FF62
0x0041005A,0x00000053,func,fn_0041005A
0x00410308,0x0000004D,func,fn_00410308
0x004104A0,0x00000256,func,fn_004104A0
0x004106F6,0x00000291,func,fn_004106F6
0x00410987,0x0000024D,func,fn_00410987
0x00410BD4,0x00000297,func,fn_00410BD4
0x00410E6B,0x000004CC,func,fn_00410E6B
0x00411522,0x0000017D,func,fn_00411522
0x004116A0,0x000000C2,func,fn_004116A0
0x00411763,0x0000029F,func,fn_00411763
0x00411A02,0x000001F8,func,fn_00411A02
0x00411BFA,0x00000061,func,?IsRunningUnderIDE@@YAHPAPAX@Z
0x00411C5B,0x00000030,func,?IsOutputToConsole@@YAHPAX@Z
0x00411C8B,0x00000022,func,?gobblewhite@@YAPAGPAG@Z
0x00411CAD,0x00000047,func,fn_00411CAD
0x00411CF5,0x00000085,func,fn_00411CF5
0x00411D7A,0x00000047,func,fn_00411D7A
0x00411DC2,0x0000005F,func,fn_00411DC2
0x00411E21,0x00000063,func,?strqlen@@YAHPBG@Z
0x00411E84,0x000000EC,func,?strqcpy@@YAPAGPAGPBG@Z
0x00411F70,0x0000005F,func,fn_00411F70
0x00411FCF,0x00000038,func,fn_00411FCF
0x00412007,0x000001AC,func,fn_00412007
0x004121B3,0x00000094,func,fn_004121B3
0x00412248,0x0000007A,func,fn_00412248
0x004122C2,0x00000046,func,fn_004122C2
0x00412309,0x000000D2,func,fn_00412309
0x004123DB,0x00000037,func,fn_004123DB
0x00412412,0x00000023,func,fn_00412412
0x00412436,0x00000029,func,fn_00412436
0x0041245F,0x0000000D,func,fn_0041245F
0x0041246C,0x000000AB,func,fn_0041246C
0x00412517,0x00000037,func,fn_00412517
0x0041254E,0x00000043,func,?done@@YAXH@Z
0x00412592,0x00000007,func,fn_00412592
0x0041261E,0x0000007B,func,?cmderr@@YAXKZZ
0x00412699,0x000000CD,func,fn_00412699
0x00412766,0x000001CD,func,fn_00412766
0x00412934,0x00000038,func,fn_00412934
0x0041296C,0x00000056,func,fn_0041296C
0x004129C2,0x00000094,func,fn_004129C2
0x00412A56,0x00000222,func,fn_00412A56
0x00412C78,0x00000069,func,fn_00412C78
0x00412CE1,0x000000C1,func,fn_00412CE1
0x00412DA2,0x00000021,func,fn_00412DA2
0x00412DC3,0x00000044,func,?ExecuteCleanupPass@@YAHPAUpassinfo_s@@PBG@Z
0x00412E07,0x00000381,func,?execute@@YAHHPAUpassinfo_s@@PBG1PAPAPBG@Z
0x00413188,0x0000004F,func,?NT_handling_function@@YGHK@Z
0x004131D7,0x0000000E,func,?OS_init@@YAXXZ
0x00418034,0x00000004,data,?RedirStderr@@3HA
0x004131E5,0x00000016,func,?redirect@@YAXXZ
0x0041A764,0x00000004,data,?currPassinfo@@3PAUpassinfo_s@@A
0x0041A760,0x00000004,data,?Spawning@@3HA
0x0041A768,0x00000004,data,?GotCtrlC@@3HA
0x004131FB,0x00000017,func,fn_004131FB
0x0041326B,0x000004D2,func,fn_0041326B
0x0041373D,0x000000E9,func,fn_0041373D
0x00413826,0x000000EB,func,fn_00413826

0x004010BC,0x00000000,imp,__imp__SetConsoleCtrlHandler@8
0x004010c0,0x00000000,imp,__imp__GetProcAddress@8
0x00401108,0x00000000,imp,__imp__GetModuleHandleW@4
0x004010e0,0x00000000,imp,__imp__GetFileType@4
0x004010e4,0x00000000,imp,__imp__GetConsoleMode@8

0x00413911,0x0000001C,func,?xnew@@YAPAXI@Z
0x0041392D,0x0000000E,func,?xfree@@YAXPAX@Z
0x0041393B,0x00000026,func,?xstrdup@@YAPAGPBG@Z
0x00413961,0x0000002D,func,fn_00413961
0x0041398E,0x00000019,func,fn_0041398E
0x004139A7,0x000000B4,func,fn_004139A7
0x00413A5C,0x00000072,func,fn_00413A5C
0x00413ACE,0x00000032,func,fn_00413ACE
0x00413B01,0x00000035,func,fn_00413B01
0x00413B37,0x00000034,func,fn_00413B37
0x00413BC1,0x00000028,func,fn_00413BC1
0x00413BE9,0x00000042,func,fn_00413BE9
0x00413C2B,0x00000035,func,fn_00413C2B
0x00413C60,0x000000CE,func,fn_00413C60
0x00413D2F,0x0000007B,func,fn_00413D2F
0x00413DC1,0x000000C2,func,fn_00413DC1
0x00413E83,0x00000077,func,fn_00413E83
0x00413EFA,0x0000003F,func,fn_00413EFA
0x00413F39,0x0000001F,func,fn_00413F39
0x00413F81,0x00000024,func,fn_00413F81
0x00413FA5,0x0000004A,func,fn_00413FA5
0x00413FF0,0x0000001E,func,fn_00413FF0
0x0041400E,0x0000003D,func,fn_0041400E
0x0041404B,0x00000041,func,fn_0041404B
0x0041408C,0x00000054,func,fn_0041408C
0x004140E0,0x00000026,func,fn_004140E0
0x0041415A,0x0000003D,func,fn_0041415A
0x00414197,0x0000001D,func,fn_00414197
0x004141B4,0x00000022,func,fn_004141B4
0x004141D6,0x0000007F,func,fn_004141D6
0x00414256,0x00000088,func,fn_00414256
0x004142DF,0x000000DA,func,fn_004142DF
0x004143B9,0x0000006B,func,fn_004143B9
0x00414448,0x00000056,func,fn_00414448
0x0041449E,0x0000003B,func,fn_0041449E
0x004144D9,0x0000009C,func,fn_004144D9
0x00414575,0x00000005,func,fn_00414575
0x0041457A,0x00000077,func,fn_0041457A
0x004145F1,0x0000005F,func,fn_004145F1
0x004146F1,0x00000010,func,fn_004146F1
0x00414701,0x00000028,func,fn_00414701
0x00414729,0x0000005D,func,fn_00414729
0x00414787,0x00000023,func,fn_00414787
0x004147F8,0x00000057,func,fn_004147F8
0x0041484F,0x00000038,func,fn_0041484F
0x00414887,0x00000029,func,fn_00414887
0x004148B0,0x00000101,func,fn_004148B0
0x00414A49,0x000000B3,func,fn_00414A49
0x00414AFD,0x00000047,func,fn_00414AFD
0x00414B44,0x00000066,func,fn_00414B44
0x00414BAB,0x00000156,func,fn_00414BAB
0x00414D02,0x000001A4,func,fn_00414D02
0x00415484,0x00000005,func,fn_00415484
0x0041566B,0x000002FC,func,fn_0041566B
0x00415968,0x00000005,func,fn_00415968
0x0041596D,0x00000005,func,fn_0041596D
0x00415972,0x00000005,func,fn_00415972
0x004159C2,0x00000189,func,fn_004159C2
0x00415C05,0x0000000A,func,fn_00415C05
0x00415C10,0x00000015,func,fn_00415C10
0x00415C25,0x00000098,func,fn_00415C25
0x00415CBD,0x00000009,func,fn_00415CBD
0x00415CC6,0x00000017,func,fn_00415CC6
0x00415D16,0x00000075,func,fn_00415D16
0x00415D90,0x0000002B,func,fn_00415D90
0x00415DC0,0x00000045,func,fn_00415DC0
0x00415E05,0x00000014,func,fn_00415E05
0x00415E40,0x00000068,func,fn_00415E40
0x00415EA8,0x00000012,func,fn_00415EA8
0x00415EC0,0x00000048,func,fn_00415EC0
0x00415F08,0x0000000F,func,fn_00415F08
0x00415F17,0x0000000D,func,fn_00415F17
0x00415F74,0x0000002C,func,fn_00415F74
0x00415FC6,0x00000006,func,fn_00415FC6
0x00415FD0,0x00000035,func,fn_00415FD0
0x00416010,0x00000044,func,fn_00416010
0x00416060,0x000000BC,func,fn_00416060
0x0041611C,0x00000034,func,fn_0041611C
0x00416153,0x0000009B,func,fn_00416153
0x004161EE,0x00000106,func,fn_004161EE
0x004162F4,0x00000022,func,fn_004162F4
0x00416316,0x00000042,func,fn_00416316
0x004012C8,0x00000004,data,str_004012C8
0x004012CC,0x00000004,data,str_004012CC
0x004012D0,0x00000004,data,str_004012D0
0x004012DC,0x00000004,data,str_004012DC
0x004012E4,0x00000004,data,str_004012E4
0x00401324,0x00000012,data,wstr_00401324
0x00401338,0x00000012,data,wstr_00401338
0x00401354,0x0000000E,data,wstr_00401354
0x00401364,0x00000008,data,wstr_00401364
0x00401370,0x00000014,data,wstr_00401370
0x00401384,0x00000008,data,wstr_00401384
0x0040138C,0x00000008,data,wstr_0040138C
0x00401394,0x00000008,data,wstr_00401394
0x0040139C,0x00000008,data,wstr_0040139C
0x004013A4,0x00000008,data,wstr_004013A4
0x004013B4,0x00000008,data,wstr_004013B4
0x004013BC,0x00000008,data,wstr_004013BC
0x004013C4,0x00000012,data,wstr_004013C4
